category	country	country_short	lang	lang_short	name	region	subject	text	type	url	lat	lon
National	Ireland	IE	English	en	meath	European Union	General News	meath	webnews	http://www.meath.ie/	53.64978435	-6.588529492009938
Local	Italy	IT	Italian	it	reteambiente	European Union	General News	ReteAmbiente	webnews	http://www.reteambiente.it/	42.6384261	12.674297
International	Italy	IT	Italian	it	agenzianova	European Union	General News	Agenzia Nova	webnews	https://www.agenzianova.com/	43.7923518	11.2435862
National	Ukraine	UA	English	en	uatoday	Europe Other	General News	Ukraine Today	webnews	http://uatoday.tv/	49.4871968	31.2718321
National	Syria	SY	Arabic	ar	damaspost	Middle East	General News	damaspost	webnews	http://www.damaspost.com/	34.6401861	39.0494106
National	Italy	IT	Italian	it	gazzetta	European Union	General News	Gazzetta dello Sport	webnews	https://www.gazzetta.it/	45.5400156	9.395730083648372
International	Italy	IT	Italian	it	reggionline	European Union	General News	Reggionline	webnews	https://www.reggionline.com/	42.6384261	12.674297
National	Poland	PL	Polish	pl	naszemiastoketrzyn	European Union	General News	Kętrzyn	webnews	https://ketrzyn.naszemiasto.pl/	54.08239245	21.365154364692174
National	Russia	RU	Russian	ru	riadagestan-ru	Asia	General News	RIA dagestan	webnews	http://www.riadagestan.ru/	42.9578388	47.556463799999996
National	Algeria	DZ	French	fr	maghrebemergent	Africa	General News	Maghreb Emergent	webnews	https://www.maghrebemergent.info/	28.000027199999998	2.9999825
National	Bolivia	BO	Spanish	es	hoybolivia	South America	General News	Hoy Bolivia	webnews	http://hoybolivia.com/	-17.056869600000002	-64.9912286
National	Greece	GR	Modern Greek (1453-)	el	alfavita	European Union	General News	Alfa Vita	webnews	https://www.alfavita.gr/	35.3199276	25.1696466
National	Venezuela	VE	Spanish	es	desarrollominero	South America	General News	Ministerio de Desarrollo Minero Ecológico	webnews	http://desarrollominero.gob.ve/	10.4800689	-66.85640719685577
National	Ukraine	UA	Ukrainian	uk	daykiev	Europe Other	General News	day kiev	webnews	http://www.day.kiev.ua/uk	50.43239785	30.60305365
National	Italy	IT	Italian	it	loschermo	European Union	General News	Lo schermo	webnews	http://www.loschermo.it/	45.466893299999995	9.291625300000002
Regional	Germany	DE	German	de	Ksta	European Union	General News	Ksta - Kölner Stadt-Anzeiger	webnews	https://www.ksta.de/	51.0834196	10.4234469
National	China	CN	English	en	chinadaily	Asia	General News	Chinese Daily	webnews	http://www.chinadaily.com.cn	35.000074	104.999927
National	Finland	FI	Finnish	fi	metro-fi	European Union	General News	Metro	webnews	http://metro.fi	61.038671750000006	28.20574165
National	Ireland	IE	English	en	leinsterleader	European Union	General News	Leinster Leader	webnews	http://www.leinsterleader.ie/	52.865196	-7.9794599
Local	Italy	IT	Italian	it	nove-firenze	European Union	General News	Nove da Firenze	webnews	http://www.nove.firenze.it/	44.1860051	11.3376775
National	Germany	DE	German	de	sz-online	European Union	General News	Sächsische Zeitung	webnews	http://www.sz-online.de/	50.9626499	13.9401296
Regional	Portugal	PT	Portuguese	pt	ointerior	European Union	General News	O Interior	webnews	http://www.ointerior.pt	38.203483	-8.7706591
National	Switzerland	CH	German	de	uncut-news	Europe Other	General News	Uncut-News	webnews	http://uncut-news.ch/	46.7985624	8.231973599999998
National	France	FR	French	fr	nicematin	European Union	General News	Nice Matin	webnews	http://www.nicematin.com/	43.6794805	7.201407466161225
National	Moldova	MD	Romanian	ro	hotnews-md	Europe Other	General News	HotNews	webnews	http://hotnews.md/	47.28796079999999	28.5670941
National	Bulgaria	BG	Bulgarian	bg	novpogled	European Union	General News	novpogled	webnews	http://novpogled.net/	42.6073975	25.4856617
Local	Italy	IT	Italian	it	melfilive	European Union	General News	materanews	webnews	https://www.melfilive.it/	42.6384261	12.674297
National	United Kingdom	GB	English	en	nature-nenergy	Europe Other	General News	Nature - Energy	webnews	https://www.nature.com/nenergy/	54.702354500000006	-3.2765752999999997
International	France	FR	German	de	afp-deutsch	European Union	General News	AFP - Agence France Presse (German)	webnews	https://www.afp.com/de	46.603353999999996	1.8883334999999999
National	Hungary	HU	Hungarian	hu	delmagyar	European Union	General News	Délmagyarország	webnews	http://www.delmagyar.hu	46.23907245	20.11765690428429
National	Venezuela	VE	Spanish	es	elimpulso	South America	General News	El Impulso	webnews	http://elimpulso.com/	9.955300999999999	-71.1186218
National	Germany	DE	English	en	clubofrome	European Union	General News	Club of Rome	webnews	http://www.clubofrome.org/	51.0834196	10.4234469
International	Latvia	LV	English	en	BalticTimes	European Union	General News	Baltic Times	webnews	https://www.baltictimes.com/	56.8406494	24.7537645
National	Lithuania	LT	Lithuanian	lt	BalticNewsService	European Union	General News	Baltic News Service	webnews	http://www.bns.lt/	55.350000300000005	23.7499997
National	Czech Republic	CZ	Czech	cs	tnbiz	European Union	General News	tnbiz	webnews	http://tnbiz.cz/	49.816700299999994	15.4749544
Regional	Spain	ES	Catalan	ca	DiariDeBalears	European Union	General News	Diari De Balears	webnews	http://dbalears.cat	39.3262345	-4.838064900000001
National	Belgium	BE	French	fr	environnement	European Union	General News	Environnement de Wallonie	webnews	http://environnement.wallonie.be/	50.41335285	4.3317438406308755
National	Armenia	AM	English	en	asbarez	Asia	General News	Asbarez	webnews	http://www.asbarez.com/	40.7696272	44.6736646
National	Sweden	SE	Swedish	sv	transportochlogistik	European Union	General News	transportochlogistik	webnews	http://www.transportochlogistik.se/	59.67497120000001	14.5208584
National	Hong Kong	HK	Chinese	zh	christiantimes	Asia	General News	Christian Times - from Hong Kong	webnews	https://christiantimes.org.hk/Common/Reader/Version/Show.jsp?Pid=101&Version=0&Charset=big5_hkscs		
National	Haiti	HT	French	fr	haitienmarche	Central America	General News	Haiti En Marche	webnews	http://www.haitienmarche.com/	19.139995199999998	-72.35709720000001
National	Turkey	TR	Turkish	tr	gercekgundem	EU Candidate	General News	Gerçek Gündem	webnews	http://www.gercekgundem.com/	38.959759399999996	34.9249653
National	Japan	JP	Japanese	ja	nishinippon	Asia	General News	Nishi Nippon Shimbun	webnews	https://www.nishinippon.co.jp/	36.5748441	139.2394179
Regional	El Salvador	SV	Spanish	es	newsmillenium	Central America	General News	News Millenium	webnews	https://www.newsmillenium.com/	13.800038199999998	-88.9140683
